BetterBatteryStats,https://github.com/asksven/BetterBatteryStats,https://play.google.com/store/apps/details?id=com.asksven.betterbatterystats,Tools,asksven/BetterBatteryStats,com.asksven.betterbatterystats,408,4.1,11310,2120
KDEConnect,https://github.com/KDE/kdeconnect-android,https://play.google.com/store/apps/details?id=org.kde.kdeconnect_tp,Productivity,KDE/kdeconnect-android,org.kde.kdeconnect_tp,302,4.7,14568,2120
Lens Launcher,https://github.com/nicholasrout/lens-launcher,https://play.google.com/store/apps/details?id=nickrout.lenslauncher,Personalization,nicholasrout/lens-launcher,nickrout.lenslauncher,180,4.4,10273,1800
Tweet Lanes,https://github.com/chrislacy/TweetLanes,https://play.google.com/store/apps/details?id=com.tweetlanes.android,Social,chrislacy/TweetLanes,com.tweetlanes.android,788,2.9,3893,1480
Material Audiobook Player,https://github.com/PaulWoitaschek/MaterialAudiobookPlayer,https://play.google.com/store/apps/details?id=de.ph1b.audiobook,Music_and_Audio,PaulWoitaschek/MaterialAudiobookPlayer,de.ph1b.audiobook,1261,4.4,5229,1320
owncloud,https://github.com/owncloud/android,https://play.google.com/store/apps/details?id=com.owncloud.android,Productivity,owncloud/android,com.owncloud.android,2894,4.2,10932,1320
Stepic,https://github.com/StepicOrg/stepic-android,https://play.google.com/store/apps/details?id=org.stepic.droid,Education,StepicOrg/stepic-android,org.stepic.droid,141,4.9,30294,1160
GnuCash,https://github.com/codinguser/gnucash-android,https://play.google.com/store/apps/details?id=org.gnucash.android,Finance,codinguser/gnucash-android,org.gnucash.android,1014,4.5,5640,1160
Clip-Stack,https://github.com/heruoxin/Clip-Stack,https://play.google.com/store/apps/details?id=com.catchingnow.tinyclipboardmanager,Tools,heruoxin/Clip-Stack,com.catchingnow.tinyclipboardmanager,835,4.2,6383,1160
Google I/O,https://github.com/google/iosched,https://play.google.com/store/apps/details?id=com.google.samples.apps.iosched,Books_and_Reference,google/iosched,com.google.samples.apps.iosched,19579,4.4,22786,1000
AFWall+ (Android Firewall +),https://github.com/ukanth/afwall,https://play.google.com/store/apps/details?id=dev.ukanth.ufirewall,Tools,ukanth/afwall,dev.ukanth.ufirewall,1587,4.1,9271,1000
bitcoin-wallet,https://github.com/schildbach/bitcoin-wallet,https://play.google.com/store/apps/details?id=de.schildbach.wallet,Finance,schildbach/bitcoin-wallet,de.schildbach.wallet,0,4.0,21805
Pedometer,https://github.com/j4velin/Pedometer,https://play.google.com/store/apps/details?id=de.j4velin.pedometer,Health_and_Fitness,j4velin/Pedometer,de.j4velin.pedometer,1260,3.8,2752
MPDroid,https://github.com/abarisain/dmix,https://play.google.com/store/apps/details?id=com.namelessdev.mpdroid,Video_Players_and_Editors,abarisain/dmix,com.namelessdev.mpdroid,554,4.3,2744
Simple Music Player,https://github.com/SimpleMobileTools/Simple-Music-Player,https://play.google.com/store/apps/details?id=com.simplemobiletools.musicplayer,Tools,SimpleMobileTools/Simple-Music-Player,com.simplemobiletools.musicplayer,406,4.3,2775
Vanilla Music,https://github.com/vanilla-music/vanilla,https://play.google.com/store/apps/details?id=ch.blinkenlights.android.vanilla,Music_and_Audio,vanilla-music/vanilla,ch.blinkenlights.android.vanilla,706,4.4,4147
Book Dash,https://github.com/spongebobrf/BookdashAndroidApp,https://play.google.com/store/apps/details?id=org.bookdash.android,Education,spongebobrf/BookdashAndroidApp,org.bookdash.android,624,4.2,819
Materialistic,https://github.com/hidroh/materialistic,https://play.google.com/store/apps/details?id=io.github.hidroh.materialistic,News_and_Magazines,hidroh/materialistic,io.github.hidroh.materialistic,1977,4.4,3102
KISS Launcher,https://github.com/Neamar/KISS,https://play.google.com/store/apps/details?id=fr.neamar.kiss,Personalization,Neamar/KISS,fr.neamar.kiss,1383,4.5,2622
Omni Notes,https://github.com/federicoiosue/Omni-Notes,https://play.google.com/store/apps/details?id=it.feio.android.omninotes,Productivity,federicoiosue/Omni-Notes,it.feio.android.omninotes,2014,4.0,3567
Turbo Editor,https://github.com/vmihalachi/turbo-editor,https://play.google.com/store/apps/details?id=com.maskyn.fileeditor,Productivity,vmihalachi/turbo-editor,com.maskyn.fileeditor,1049,4.1,4968
Tusky,https://github.com/Vavassor/Tusky,https://play.google.com/store/apps/details?id=com.keylesspalace.tusky,Social,Vavassor/Tusky,com.keylesspalace.tusky,823,3.7,1950
LibreTorrent,https://github.com/proninyaroslav/libretorrent,https://play.google.com/store/apps/details?id=org.proninyaroslav.libretorrent,Video_Players_and_Editors,proninyaroslav/libretorrent,org.proninyaroslav.libretorrent,743,4.3,1928
StockTicker,https://github.com/premnirmal/StockTicker,https://play.google.com/store/apps/details?id=com.github.premnirmal.tickerwidget,Finance,premnirmal/StockTicker,com.github.premnirmal.tickerwidget,185,4.1,1454
Simple Draw,https://github.com/SimpleMobileTools/Simple-Draw,https://play.google.com/store/apps/details?id=com.simplemobiletools.draw,Tools,SimpleMobileTools/Simple-Draw,com.simplemobiletools.draw,195,3.9,3204
Simple File Manager,https://github.com/SimpleMobileTools/Simple-File-Manager,https://play.google.com/store/apps/details?id=com.simplemobiletools.filemanager,Tools,SimpleMobileTools/Simple-File-Manager,com.simplemobiletools.filemanager,453,4.4,2882
Simple Notes,https://github.com/SimpleMobileTools/Simple-Notes,https://play.google.com/store/apps/details?id=com.simplemobiletools.notes,Tools,SimpleMobileTools/Simple-Notes,com.simplemobiletools.notes,263,4.6,2413
Opaler,https://github.com/timgreen/opaler,https://play.google.com/store/apps/details?id=it.timgreen.opal,Travel_and_Local,timgreen/opaler,it.timgreen.opal,13,4.2,1369
